,Facility,Project,ModDate
0,18000100,180001-00,2020-04-28 19:21:50.563
1,18000100,180001-00,2020-04-28 19:21:52.803
2,18000200,180002-00,2018-03-02 14:47:36.000
3,18000200,180002-00,2020-12-08 15:40:10.180
4,18000200,180002-00,2020-12-18 15:37:50.777
5,18000200,180002-00,2020-12-21 16:57:00.000
6,18000200,180002-00,2021-01-04 10:04:15.487
7,18000200,180002-00,2021-01-05 09:40:36.757
8,18000200,180002-00,2021-01-06 11:43:52.340
9,18000200,180002-00,2021-01-07 10:53:57.137
10,18000200,180002-00,2021-01-07 15:37:52.293
11,18111002,181110-02,2018-12-19 09:56:53.410
12,18111002,181110-02,2020-04-28 16:05:41.120
13,18111003,181110-03,2020-04-28 16:42:08.947
14,18111003,181110-03,2020-04-28 16:42:08.947
15,18111008,181110-08,2020-11-18 06:37:29.767
16,18111008,181110-08,2020-11-18 08:36:06.813
17,18111013,181110-13,2020-11-18 06:37:29.923
18,18111013,181110-13,2020-11-18 08:36:09.513
19,18111013,181111-13,2020-11-18 06:37:29.937
20,18111013,181111-13,2020-11-18 08:36:23.920
21,18111017,181110-17,2020-11-18 06:37:29.980
22,18111017,181110-17,2020-11-18 08:36:25.840
23,18112001,181120-01,2016-06-27 09:55:12.000
24,18112001,181120-01,2020-08-04 17:21:35.000
25,18112001,181121-01,2019-02-10 16:21:23.000
26,18112001,181121-01,2020-06-16 16:00:29.000
27,18112001,201120-01,2013-06-25 17:24:57.830
28,18112001,201120-01,2020-12-15 17:41:12.000
29,18112001,201120-01,2020-12-16 10:09:06.803
30,18112001,201120-01,2020-12-17 11:21:24.263
31,18112001,201120-01,2020-12-31 15:01:42.780
32,18112001,201120-01,2021-01-04 17:36:58.547
33,18112001,201120-01,2021-01-06 11:33:55.093
34,18112001,201120-01,2021-01-06 13:26:46.483
35,18112001,201120-01,2021-01-11 12:01:03.883
36,18112001,201120-01,2021-01-11 12:19:12.760
37,18112003,181120-03,2018-11-29 10:02:54.000
38,18112003,181120-03,2020-12-03 17:28:52.077
39,18112003,181120-03,2021-01-07 08:10:17.430
40,18112003,181121-03,2020-02-05 15:30:32.477
41,18112003,181121-03,2020-07-20 12:09:44.063
42,18112018,181120-18,2020-07-15 08:16:34.530
43,18112018,181120-18,2020-07-15 08:16:34.530
44,18112018,181121-18,2012-08-30 15:53:52.000
45,18112018,181121-18,2020-12-10 12:47:38.297
46,18112018,181121-18,2021-01-07 08:59:08.000
47,18112021,181120-21,2020-11-18 06:37:30.310
48,18112021,181120-21,2020-11-18 08:36:28.207
49,18112021,181121-21,2019-08-06 08:01:00.000
50,18112021,181121-21,2020-12-07 14:07:02.990
51,18112021,181121-21,2020-12-21 13:46:31.423
52,18112021,201120-21,2019-12-04 15:19:01.900
53,18112021,201120-21,2020-12-10 12:53:23.407
54,18112021,201120-21,2020-12-22 09:34:35.593
55,18112022,181120-22,2018-10-05 15:51:50.000
56,18112022,181120-22,2020-12-03 17:38:01.797
57,18112022,181121-22,2019-07-02 18:13:33.000
58,18112022,181121-22,2020-07-02 11:18:33.483
